,recid,education,age,prev_earnings,allocated_trmt,earnings,clstrs9,Rlr1,d_rob_ols_Xfit
0,300001,12,46,0,1,1353,2,568.051262466468,-13827
1,300002,11,24,3591,1,4984,4,1656.458185722884,-16927
2,300006,12,34,0,1,27707,2,897.7980384759776,24277
3,300008,10,31,9476,1,31860,1,2094.997655988049,14226
4,300010,9,22,9600,0,26615,1,2603.9817028919642,-12129
5,300012,12,22,200,1,48541,4,1240.3626513670679,53257
6,300013,13,36,10000,1,3240,1,1230.0051805232142,-33861
7,300014,12,41,0,1,8385,2,705.4457524704303,-3748
8,300015,12,24,10339,1,4036,1,1835.2050960772067,-32634
9,300016,12,26,5000,1,16419,1,1438.0751445218302,-3978
10,300019,12,27,150,1,22221,4,1099.7637021427126,14529
11,300022,8,35,1671,1,1933,3,1992.3197917416073,-12243
12,300025,12,49,0,0,19541,2,485.61456846409055,-28156
13,300026,12,40,1569,1,25766,2,833.4805808072215,18791
14,300027,12,23,11400,1,9879,1,1930.682618734787,-26375
15,300028,13,34,5000,0,25199,1,964.5170544852845,-17321
16,300030,17,22,3412,0,24765,4,177.5825815342323,-7372
17,300032,14,31,8000,1,29780,1,985.4943956811694,7499
18,300033,12,28,12300,0,18888,1,1850.9683946979385,30824
19,300035,12,29,7751,1,33390,1,1531.947796825596,16770
20,300037,11,26,600,0,12537,4,1409.8096391572635,-1393
21,300039,12,28,6634,0,48254,1,1487.8390758427595,-82470
22,300040,10,33,0,0,23686,3,1432.7307485371784,-42229
23,300048,12,33,500,0,10112,4,957.3215286807208,6561
24,300052,12,29,8460,0,33570,1,1577.3870285707999,-31324
25,300054,9,23,2500,0,12301,3,2121.4695955950647,2398
26,300055,12,26,8020,0,27676,1,1631.6244814337006,-13247
27,300057,12,29,13000,0,57676,1,1868.3519257826774,-83558
28,300058,12,29,4500,1,38018,1,1323.593858315504,30085
29,300059,9,26,0,1,3366,3,1878.80994057293,-9265
30,300062,9,41,1000,1,4038,3,1530.7156549689462,-8299
31,300063,14,29,4000,0,13892,4,784.0954540511448,16381
32,300064,13,29,2041,0,14598,4,912.2716478262664,3548
33,300066,9,29,0,1,439,3,1796.3732465705543,-13091
34,300074,15,25,0,1,20609,4,383.9274023924954,7893
35,300075,12,22,3500,0,37644,4,1451.8569599131479,-60994
36,300076,10,22,5200,1,21219,3,2068.262385466991,5450
37,300077,12,48,4500,0,9747,2,801.4947963004433,19771
38,300078,10,50,154,0,0,2,975.4592169225234,26110
39,300081,11,33,10000,1,31196,1,1819.8956865860018,9842
40,300082,13,24,10000,0,34728,1,1559.7519565327239,-23716
41,300084,11,30,0,0,126,4,1261.4405365093517,32412
42,300085,10,42,2000,1,1763,2,1313.5990353458528,-15079
43,300091,10,27,30,1,7028,3,1599.5268120741712,-4753
44,300092,12,22,0,1,4506,4,1227.5448144854872,-11978
45,300095,14,33,1200,1,2203,4,494.73014570584564,-19529
46,300096,12,25,2948,0,3765,4,1334.0430361176059,38031
47,300097,12,29,0,1,5475,4,1035.1925284799418,-9753
48,300098,12,26,0,0,12394,4,1117.6292224823173,-666
49,300099,12,38,0,1,8372,2,787.8824464728095,-4621
50,300101,12,30,0,1,11018,4,1007.7136304791475,-1659
51,300103,12,55,0,0,1109,2,320.74118045933574,27693
52,300104,9,38,1800,0,75,3,1664.4236964976462,33380
53,300105,12,31,0,0,26944,4,980.234732478355,-44710
54,300108,12,22,12000,0,2787,1,1996.6150273803214,78902
55,300110,11,24,0,1,11832,4,1426.3139245141065,239
56,300113,15,37,3200,1,8127,2,259.26601648827636,-15779
57,300115,12,25,14102,0,26525,1,2048.8937990033555,15525
58,300119,12,23,1500,1,8860,4,1296.1996930965488,-8660
59,300122,12,22,11653,1,43596,1,1974.376080390779,23577
60,300123,14,32,1000,1,48727,4,509.39120682505745,50696
61,300125,12,32,0,1,28029,4,952.7558344775625,24506
62,300128,11,35,0,0,20865,2,1124.0460465053893,-29939
63,300129,16,29,5280,1,56089,1,358.6757980328475,49284
64,300133,10,36,1546,1,4310,3,1449.3759336294188,-11394
65,300134,11,39,0,1,2952,2,1014.1304545022194,-10887
66,300136,12,37,4500,1,23830,1,1103.7626743091641,9515
67,300139,13,26,4421,1,13871,4,1147.2406007194477,-7849
68,300140,13,23,12088,1,9962,1,1721.0490715772175,-28540
69,300141,10,23,5500,1,14459,1,2060.0102427885686,-5667
70,300144,12,29,9000,0,3721,1,1611.9951881510679,61833
71,300146,9,22,500,1,6261,3,2020.7701247800505,-6052
72,300153,12,24,4000,0,35676,4,1428.9437561155137,-53256
73,300154,10,38,0,1,12758,3,1295.336258533218,5406
74,300156,12,25,8440,1,9003,1,1686.0208368858111,-22526
75,300158,11,29,100,0,24135,4,1295.3283529509372,-38956
76,300159,11,25,11490,0,2612,1,2135.219755360118,74219
77,300160,12,22,2500,1,698,4,1387.7677755052446,-22805
78,300161,11,23,0,1,141,4,1453.792822514899,-17071
79,300163,12,32,6500,1,34593,1,1369.3355331289313,21399
80,300169,12,22,6000,1,10840,1,1612.0799209329016,-15017
81,300171,10,22,1927,0,0,3,1858.4984848999247,40137
82,300172,10,24,150,1,0,3,1689.6542082054966,-16466
83,300173,13,22,8000,1,27431,1,1486.5313837185022,4627
84,300174,8,75,0,0,0,2,786.0708445642995,16092
85,300175,12,55,8750,1,0,2,881.5215440284846,-31850
86,300176,12,30,0,0,0,4,1007.7136304791475,36234
87,300181,11,39,422,1,1929,2,1041.1760903223549,-13304
88,300182,16,37,3815,1,0,2,44.953958868929476,-30084
89,300187,15,31,2000,1,90483,4,347.2323832035436,109405
90,300189,12,25,1000,0,19344,4,1209.1973048910131,-16731
91,300192,12,28,15000,1,47184,1,2024.0091925992747,23567
92,300193,12,34,212,0,1008,2,911.384945570453,33318
93,300202,14,25,6000,1,22026,1,1022.1894148701176,-238
94,300207,13,25,7000,1,19501,1,1340.005505308225,-4906
95,300209,10,32,10000,0,60007,1,2101.1014906169985,-109736
96,300212,17,43,5500,0,13383,2,-265.65605943871196,27861
97,300214,12,24,11000,1,42547,1,1877.5680469708313,23062
98,300215,12,25,2300,1,9285,4,1292.5132446212865,-9450
99,300218,12,26,4000,1,2769,4,1373.9859601139287,-22263
100,300220,13,24,450,0,22820,4,947.7002454372523,-26398
101,300221,15,29,1300,0,6119,4,357.32775011960257,31944
102,300222,9,54,0,0,8952,2,1109.4007965507399,-5280
103,300225,14,30,5500,1,11797,1,852.7503326622027,-14316
104,300228,12,22,12000,0,53103,1,1996.6150273803214,-75123
105,300229,14,32,2000,0,6432,4,573.4803912329608,30341
106,300232,8,38,0,1,0,3,1802.7900705936236,-11384
107,300234,10,22,0,1,0,3,1734.9986265458956,-15972
108,300238,12,29,700,1,20014,4,1080.0549575654732,10411
109,300239,8,31,0,0,0,3,1995.14235659917,24452
110,300243,11,22,4875,1,51495,4,1793.7064945042184,50022
111,300246,12,78,0,1,13500,2,-311.27347355889196,8420
112,300247,14,41,3000,1,2874,2,390.25949363373,-21357
113,300248,14,27,2856,1,45968,4,765.7352230900906,42047
114,300250,11,23,9625,0,29458,1,2070.6512224409635,-15729
115,300252,14,30,600,1,24365,4,538.7133290634811,14543
116,300253,15,30,10000,1,3999,1,887.4247564675607,-36929
117,300256,11,32,6500,1,43734,1,1623.0624391591373,35850
118,300257,12,36,10000,0,83989,1,1483.7320865534202,-176765
119,300259,12,41,19000,0,0,1,1923.140256220584,112395
120,300265,8,37,3000,0,37122,3,2022.536521818125,-76672
121,300266,11,23,1024,1,40305,4,1519.4201473485919,41065
122,300273,16,74,5000,0,2824,2,-895.8195836370323,48498
123,300274,10,30,0,0,10371,3,1515.1674425395559,-573
124,300276,12,34,0,1,25585,2,897.7980384759776,20613
125,300279,8,41,8120,1,17470,3,2240.7575539834143,-1081
126,300283,9,39,350,0,5854,3,1544.0154811053926,9147
127,300287,11,27,86,0,10047,4,1349.38890037081,4412
128,300288,16,38,14665,0,62424,1,712.8427116938765,-83077
129,300290,8,63,1045,1,0,2,1182.7908182800684,-9461
130,300292,12,28,0,1,0,4,1062.6714264807342,-18438
131,300294,10,27,5730,1,26214,1,1964.835163199219,12462
132,300298,10,22,2400,0,17943,3,1888.8126691248617,-11754
133,300301,9,40,6000,0,0,3,1878.6404750092534,48412
134,300302,11,39,1000,1,12586,2,1078.2196389101227,1722
135,300303,9,54,0,1,5637,2,1109.4007965507399,-3173
136,300305,11,68,0,0,1935,2,217.24241247923692,18077
137,300306,12,49,2112,1,11619,2,620.9709259335814,-2305
138,300307,11,26,2725,1,5992,4,1545.9991560240578,-13537
139,300308,13,42,1100,0,2993,2,494.73805128812637,31062
140,300309,12,41,671,0,0,2,748.4495952081343,35721
