,Unnamed: 0,recid,late_Xfit,pred_takeup_prob,education,age,prev_earnings,allocated_trmt,earnings,pred_earnings,counterfac_pred_earnings,pred_pred_itt,pred_actual_itt,doubly_robust_lasso,Rlr1,doubly_robust_ols,Rlr1poly,doubly_robust_polyols,clstrs9,d_rob_ols_Xfit
0,0,300001,-11874.0,0.6488836360883166,12,46,0,1,1353,11397.02160974661,10321.288008850688,1075.7336008959192,-8968.288008850688,-13990.298813723992,568.051262466468,-14006.506359407424,-175.4252910266805,10134.159771987666,2,-13827
1,1,300002,-14593.0,0.6639385722298956,11,24,3591,1,4984,17232.25247234872,15724.90419424162,1507.3482781070984,-10740.90419424162,-16865.03043041598,1656.4581857228839,-17051.101923856408,2255.636488418033,8826.441589515376,4,-16927
2,2,300006,-73981.0,0.652687229917392,12,34,0,1,27707,12481.387067111775,10783.579440223091,1697.807626888689,16923.42055977691,24536.227026221026,897.7980384759776,24031.054455169186,644.3751706132498,48521.24906011063,2,24277
3,3,300008,-40920.0,0.6558124039504917,10,31,9476,1,31860,24292.60568269396,23614.66593289684,677.9397497971186,8245.334067103162,12029.031225756184,2094.997655988049,13798.984289679309,-592.2948575142364,34185.61440329373,1,14226
4,4,300010,-19550.0,0.6713737217701282,9,22,9600,0,26615,23708.313028542423,24109.6360765271,401.3230479846752,-2505.3639234729017,401.3230479846752,2603.9817028919642,2603.9817028919642,5793.141915803431,5793.141915803431,1,-12129
5,5,300012,45814.0,0.6725133025881381,12,22,200,1,48541,13296.558568165703,11191.843975732396,2104.714592433311,37349.156024267606,54971.376740184736,1240.362651367068,53389.141606265264,-1516.3695011455748,77741.35135647311,4,53257
6,6,300013,101430.0,0.6575905347504355,13,36,10000,1,3240,26812.607463054992,25482.64309072144,1329.9643723335505,-22242.64309072144,-34028.94682224894,1230.0051805232142,-33813.648091241106,-2715.761371302273,-14870.547215390989,1,-33861
7,7,300014,-3466.0,0.6485555164828004,12,41,0,1,8385,11927.97426467891,10575.055530300586,1352.9187343783233,-2190.055530300586,-3961.5426626400404,705.4457524704303,-4080.772686667171,451.19059004088194,20263.694497787543,2,-3748
8,8,300015,-28721.0,0.6758672595487786,12,24,10339,1,4036,27175.487443291535,27550.03965651432,-374.5522132227816,-23514.03965651432,-35083.783378160086,1835.2050960772067,-33370.76923297696,-1563.3435436133368,-13623.222637565508,1,-32634
9,9,300016,11649.0,0.6730942443650678,12,26,5000,1,16419,19829.090225185304,19283.70702832746,545.3831968578452,-2864.7070283274597,-4569.752140920111,1438.0751445218302,-3883.41325545998,1329.2066651943733,19546.424317724144,1,-3978
10,10,300019,-44107.0,0.662516305291614,12,27,150,1,22221,13057.819653051547,11111.467822306096,1946.3518307454503,11109.532177693904,15691.122351168133,1099.7637021427126,14631.276349395132,-121.658777878416,39109.03380481502,4,14529
11,11,300022,40477.0,0.5966596847260313,8,35,1671,1,1933,11851.587040553066,10220.844294861234,1630.7427456918322,-8287.844294861234,-13247.137815137768,1992.3197917416073,-12165.39112461062,893.4697349004055,8445.230295720201,3,-12243
12,12,300025,-41773.0,0.6503933916793001,12,49,0,0,19541,10121.900968626322,11017.460065504485,895.5590968781653,-8523.539934495515,895.5590968781653,485.61456846409055,485.61456846409055,-687.1038799288873,-687.1038799288873,2,-28156
13,13,300026,16067.0,0.6520573516061354,12,40,1569,1,25766,14209.955266285107,12951.997278084404,1257.957988200702,12814.002721915596,18592.02508877304,833.4805808072215,18732.40315787602,968.788365485947,43045.34051670145,2,18791
14,14,300027,-23839.0,0.6766610486808425,12,23,11400,1,9879,28633.167703795763,29210.817621501137,-577.6499177053772,-19331.81762150114,-28708.901473399023,1930.682618734787,-26849.9302831932,-2294.378814013151,-7630.091796901921,1,-26375
15,15,300028,-25325.0,0.6700700903841493,13,34,5000,0,25199,19606.81783081966,20143.237114444506,536.419283624844,-5055.762885555498,536.419283624844,964.5170544852845,964.5170544852845,529.0184088375545,529.0184088375545,1,-17321
