recid	D	earnings	prevearn	edu
300001	1	1353	0	12
300002	1	4984	3591	11
300006	1	27707	0	12
300008	1	31860	9476	10
300010	0	26615	9600	9
300012	1	48541	200	12
300013	1	3240	10000	13
300014	1	8385	0	12
300015	1	4036	10339	12
300016	1	16419	5000	12
300019	1	22221	150	12
300022	1	1933	1671	8
300025	0	19541	0	12
300026	1	25766	1569	12
300027	1	9879	11400	12
300028	0	25199	5000	13
300030	0	24765	3412	17
300032	1	29780	8000	14
300033	0	18888	12300	12
300035	1	33390	7751	12
300037	0	12537	600	11
300039	0	48254	6634	12
300040	0	23686	0	10
300048	0	10112	500	12
300052	0	33570	8460	12
300054	0	12301	2500	9
300055	0	27676	8020	12
300057	0	57676	13000	12
300058	1	38018	4500	12
300059	1	3366	0	9
300062	1	4038	1000	9
300063	0	13892	4000	14
300064	0	14598	2041	13
300066	1	439	0	9
300074	1	20609	0	15
300075	0	37644	3500	12
300076	1	21219	5200	10
300077	0	9747	4500	12
300078	0	0	154	10
300081	1	31196	10000	11
300082	0	34728	10000	13
300084	0	126	0	11
300085	1	1763	2000	10
300091	1	7028	30	10
300092	1	4506	0	12
300095	1	2203	1200	14
300096	0	3765	2948	12
300097	1	5475	0	12
300098	0	12394	0	12
300099	1	8372	0	12
300101	1	11018	0	12
300103	0	1109	0	12
300104	0	75	1800	9
300105	0	26944	0	12
300108	0	2787	12000	12
300110	1	11832	0	11
300113	1	8127	3200	15
300115	0	26525	14102	12
300119	1	8860	1500	12
300122	1	43596	11653	12
300123	1	48727	1000	14
300125	1	28029	0	12
300128	0	20865	0	11
300129	1	56089	5280	16
300133	1	4310	1546	10
300134	1	2952	0	11
300136	1	23830	4500	12
300139	1	13871	4421	13
300140	1	9962	12088	13
300141	1	14459	5500	10
300144	0	3721	9000	12
300146	1	6261	500	9
300153	0	35676	4000	12
300154	1	12758	0	10
300156	1	9003	8440	12
300158	0	24135	100	11
300159	0	2612	11490	11
300160	1	698	2500	12
300161	1	141	0	11
300163	1	34593	6500	12
300169	1	10840	6000	12
300171	0	0	1927	10
300172	1	0	150	10
300173	1	27431	8000	13
300174	0	0	0	8
300175	1	0	8750	12
300176	0	0	0	12
300181	1	1929	422	11
300182	1	0	3815	16
300187	1	90483	2000	15
300189	0	19344	1000	12
300192	1	47184	15000	12
300193	0	1008	212	12
300202	1	22026	6000	14
300207	1	19501	7000	13
300209	0	60007	10000	10
300212	0	13383	5500	17
300214	1	42547	11000	12
300215	1	9285	2300	12
300218	1	2769	4000	12
300220	0	22820	450	13
300221	0	6119	1300	15
300222	0	8952	0	9
300225	1	11797	5500	14
300228	0	53103	12000	12
300229	0	6432	2000	14
300232	1	0	0	8
300234	1	0	0	10
300238	1	20014	700	12
300239	0	0	0	8
300243	1	51495	4875	11
300246	1	13500	0	12
300247	1	2874	3000	14
300248	1	45968	2856	14
300250	0	29458	9625	11
300252	1	24365	600	14
300253	1	3999	10000	15
300256	1	43734	6500	11
300257	0	83989	10000	12
300259	0	0	19000	12
300265	0	37122	3000	8
300266	1	40305	1024	11
300273	0	2824	5000	16
300274	0	10371	0	10
300276	1	25585	0	12
300279	1	17470	8120	8
300283	0	5854	350	9
300287	0	10047	86	11
300288	0	62424	14665	16
300290	1	0	1045	8
300292	1	0	0	12
300294	1	26214	5730	10
300298	0	17943	2400	10
300301	0	0	6000	9
300302	1	12586	1000	11
300303	1	5637	0	9
300305	0	1935	0	11
300306	1	11619	2112	12
300307	1	5992	2725	11
300308	0	2993	1100	13
300309	0	0	671	12
300310	1	22614	130	10
300316	1	22636	5200	9
300317	1	22895	3000	12
300318	1	9343	11475	13
300320	1	17181	8786	12
300322	1	1611	550	12
300325	0	1455	0	13
300326	1	14757	0	15
300327	1	0	3792	10
300330	1	11636	300	8
300331	1	201	200	12
300332	1	17739	0	12
300333	0	8284	2800	14
300336	1	31312	5400	12
300337	1	17038	1400	12
300340	1	325	0	11
300343	1	17160	15000	12
300344	1	19329	3800	12
300345	0	15841	7500	10
300346	0	7551	2100	12
300353	0	1956	3900	10
300355	1	0	5000	13
300356	1	4446	98	9
300359	1	9449	5915	8
300360	1	31774	1300	13
300362	1	27546	0	12
300363	1	1440	400	8
300366	1	14295	300	12
300372	1	7898	3235	11
300373	0	34745	7000	12
300375	0	3779	4000	14
300376	1	247	150	11
300380	0	22289	2808	12
300381	1	8550	6000	12
300383	1	700	0	12
300384	0	16977	2160	11
300385	1	19416	1000	8
300387	1	35986	3593	12
300390	1	7591	300	12
300391	1	21561	600	11
300392	1	4968	3000	12
300393	0	13367	2000	14
300394	1	15471	8125	12
300395	1	6489	400	11
300398	0	337	0	12
300403	1	62715	0	12
300404	1	0	0	12
300407	1	56963	3500	16
300408	1	4998	200	12
300411	1	0	1440	17
300412	1	22951	1300	13
300415	1	43748	12500	15
300418	0	79720	1000	11
300420	1	5130	3400	12
300421	1	2613	0	9
300424	0	9755	7143	11
300426	0	0	0	8
300429	1	14529	3380	12
300433	0	12773	9	8
300434	0	24807	8386	12
300436	1	2115	0	10
300437	0	0	3000	11
300440	1	28249	8000	14
300444	0	447	800	12
300446	0	960	0	13
300451	1	375	0	16
300454	1	2359	0	9
300456	0	22530	4800	12
300458	1	13280	0	12
300460	0	690	16700	16
300462	1	1215	4000	10
300463	0	395	500	13
300465	1	0	0	9
300466	1	39360	12000	9
300469	1	12845	5000	12
300470	1	634	16155	12
300472	0	3846	0	12
300474	1	42923	4252	12
300475	1	0	8443	12
300476	1	0	0	12
300478	1	24524	10600	12
300483	0	87243	200	14
300484	1	30747	12000	13
300487	1	62364	5000	12
300488	1	2614	300	11
300492	1	0	0	12
300495	1	31357	7200	15
300498	0	17194	0	12
300499	1	1087	3826	11
300501	1	90	0	12
300502	0	861	1100	12
300503	1	49490	17000	14
300504	0	5199	4548	12
300506	1	213	0	12
300509	1	14132	0	10
300513	1	2260	8340	9
300516	1	51183	10000	14
300517	0	45354	7200	14
300525	1	79278	6516	13
300526	1	69042	19000	11
300527	0	0	16000	13
300529	1	34373	6240	12
300531	1	3379	0	11
300533	1	46443	3588	12
300535	0	2036	0	11
300539	1	25767	2000	9
300541	1	24888	700	12
300543	0	75	0	10
300545	1	20058	7630	11
300548	1	3594	1080	12
300549	0	63423	4000	12
300552	1	24606	600	12
300553	0	18975	0	9
300555	1	20751	7000	13
300557	1	31765	4800	12
300558	1	15302	1000	12
300560	1	12327	1000	11
300565	0	306	0	11
300566	1	17127	0	10
300567	1	18374	2900	12
300571	0	68820	13000	12
300572	1	0	6600	11
300574	0	38945	9000	12
300575	0	28804	3000	12
300576	1	14625	0	12
300577	0	46253	6500	12
300578	0	0	0	12
300579	0	26040	300	12
300581	1	41031	2411	12
300586	1	8775	600	9
300589	1	321	2000	16
300590	1	30837	6711	13
300591	0	954	0	9
300593	0	5737	4641	12
300594	1	82217	24000	8
300596	1	21616	400	12
300598	1	80166	2200	12
300599	1	0	0	8
300600	1	6821	160	12
300603	0	18501	400	10
300605	1	0	260	14
300606	0	16332	4848	9
300607	0	29452	2003	13
300608	1	6965	0	12
300611	1	34612	12000	14
300614	1	1565	0	12
300615	1	26334	0	10
300618	0	0	600	12
300620	1	2322	0	12
300621	1	36201	220	10
300622	1	6747	0	11
300624	0	0	10000	10
300625	0	13726	0	12
300629	1	2806	171	8
300633	1	48553	11000	9
300634	1	978	1190	11
300635	1	38743	10080	12
300638	1	0	3000	12
300644	1	46159	13000	16
300645	1	18147	0	11
300647	0	13874	7100	14
300648	1	13419	2400	9
300649	0	20442	2000	16
300651	1	5311	0	10
300654	1	254	498	9
300655	1	2108	1500	10
300657	1	24799	2400	12
300658	1	18299	8000	10
300660	0	11010	0	10
300661	1	56087	1500	14
300663	1	23453	1100	13
300665	1	10101	3744	8
300666	1	18009	6500	11
300670	1	8945	7800	12
300674	1	16689	352	10
300675	0	0	0	11
300682	0	6180	528	9
300686	0	0	700	13
300689	0	2577	0	12
300690	1	24536	1306	14
300692	1	51060	2725	9
300693	1	28804	1768	12
300696	1	13812	0	14
300697	1	25700	0	12
300698	1	14291	9800	10
300699	1	588	400	8
300700	1	16919	0	11
300701	1	45958	16000	12
300706	1	17289	2574	10
300707	1	29797	2000	13
300711	1	16417	5394	12
300714	1	0	0	9
300715	1	39570	7000	15
300717	1	0	1144	12
300719	1	12615	6000	12
300723	1	9219	1200	15
300732	1	8513	98	11
300740	0	4614	6000	9
300741	1	5557	1800	12
300743	0	41690	6300	14
300745	1	23765	50	11
300746	1	33403	12469	12
300750	1	6930	554	12
300751	0	10953	3000	10
300752	0	26475	3880	15
300753	1	40629	1223	12
